,feature,importance_gain,importance_split,trn_score,run
9,NAME_TYPE_SUITE,363.1737279891968,38,0.7094297408077153,44
10,NAME_INCOME_TYPE,246.6721305847168,26,0.7094297408077153,44
11,NAME_EDUCATION_TYPE,148.5922393798828,17,0.7094297408077153,44
12,NAME_FAMILY_STATUS,260.8405513763428,27,0.7094297408077153,44
13,NAME_HOUSING_TYPE,166.10269117355347,21,0.7094297408077153,44
14,REGION_POPULATION_RELATIVE,5850.816269338131,608,0.7094297408077153,44
15,DAYS_BIRTH,8675.760861992836,900,0.7094297408077153,44
16,DAYS_EMPLOYED,7359.97882515192,783,0.7094297408077153,44
17,DAYS_REGISTRATION,7405.213871538639,763,0.7094297408077153,44
18,DAYS_ID_PUBLISH,8912.361217051744,895,0.7094297408077153,44
19,OWN_CAR_AGE,3854.2948845028877,399,0.7094297408077153,44
20,FLAG_MOBIL,0.0,0,0.7094297408077153,44
21,FLAG_EMP_PHONE,42.20606064796448,5,0.7094297408077153,44
22,FLAG_WORK_PHONE,305.34082567691803,37,0.7094297408077153,44
23,FLAG_CONT_MOBILE,110.51572942733765,10,0.7094297408077153,44
24,FLAG_PHONE,344.759797334671,40,0.7094297408077153,44
25,FLAG_EMAIL,182.09930312633514,23,0.7094297408077153,44
26,OCCUPATION_TYPE,4718.10596704483,445,0.7094297408077153,44
27,CNT_FAM_MEMBERS,1049.0419800281525,108,0.7094297408077153,44
28,REGION_RATING_CLIENT,401.8460059762001,43,0.7094297408077153,44
29,REGION_RATING_CLIENT_W_CITY,426.9618799686432,43,0.7094297408077153,44
30,WEEKDAY_APPR_PROCESS_START,1641.794979095459,161,0.7094297408077153,44
31,HOUR_APPR_PROCESS_START,3917.3196093440056,408,0.7094297408077153,44
32,REG_REGION_NOT_LIVE_REGION,63.59362983703613,7,0.7094297408077153,44
33,REG_REGION_NOT_WORK_REGION,172.4236011505127,20,0.7094297408077153,44
34,LIVE_REGION_NOT_WORK_REGION,180.18043971061707,20,0.7094297408077153,44
35,REG_CITY_NOT_LIVE_CITY,89.25489044189453,10,0.7094297408077153,44
36,REG_CITY_NOT_WORK_CITY,357.7709546685219,40,0.7094297408077153,44
37,LIVE_CITY_NOT_WORK_CITY,231.86217176914215,25,0.7094297408077153,44
38,ORGANIZATION_TYPE,12327.762851953506,949,0.7094297408077153,44
39,EXT_SOURCE_1,8311.03214147687,804,0.7094297408077153,44
40,EXT_SOURCE_2,9061.456425189972,899,0.7094297408077153,44
41,EXT_SOURCE_3,11909.903181612492,1198,0.7094297408077153,44
42,APARTMENTS_AVG,3247.0423782765865,294,0.7094297408077153,44
43,BASEMENTAREA_AVG,3672.827255219221,338,0.7094297408077153,44
44,YEARS_BEGINEXPLUATATION_AVG,4068.6981422901154,379,0.7094297408077153,44
45,YEARS_BUILD_AVG,3237.761756300926,303,0.7094297408077153,44
46,COMMONAREA_AVG,3010.460511803627,286,0.7094297408077153,44
47,ELEVATORS_AVG,1061.3879653215408,92,0.7094297408077153,44
48,ENTRANCES_AVG,1715.8772447705269,167,0.7094297408077153,44
49,FLOORSMAX_AVG,1157.7056720256805,114,0.7094297408077153,44
50,FLOORSMIN_AVG,1519.0795570611954,141,0.7094297408077153,44
51,LANDAREA_AVG,4535.9424469172955,422,0.7094297408077153,44
52,LIVINGAPARTMENTS_AVG,2218.333142220974,194,0.7094297408077153,44
53,LIVINGAREA_AVG,3442.3299859166145,287,0.7094297408077153,44
54,NONLIVINGAPARTMENTS_AVG,1385.3889245390892,130,0.7094297408077153,44
55,NONLIVINGAREA_AVG,3020.1480991840363,273,0.7094297408077153,44
56,APARTMENTS_MODE,2868.599177956581,264,0.7094297408077153,44
57,BASEMENTAREA_MODE,3410.9570859074593,302,0.7094297408077153,44
58,YEARS_BEGINEXPLUATATION_MODE,3097.1676136255264,291,0.7094297408077153,44
59,YEARS_BUILD_MODE,1580.0679808855057,156,0.7094297408077153,44
60,COMMONAREA_MODE,2831.348166823387,264,0.7094297408077153,44
61,ELEVATORS_MODE,974.4944224357605,88,0.7094297408077153,44
62,ENTRANCES_MODE,1003.951985180378,102,0.7094297408077153,44
63,FLOORSMAX_MODE,861.831342458725,75,0.7094297408077153,44
64,FLOORSMIN_MODE,845.23379945755,78,0.7094297408077153,44
65,LANDAREA_MODE,3872.5272791087627,347,0.7094297408077153,44
66,LIVINGAPARTMENTS_MODE,2867.055669426918,268,0.7094297408077153,44
67,LIVINGAREA_MODE,2841.6452592015266,257,0.7094297408077153,44
68,NONLIVINGAPARTMENTS_MODE,1007.6044282317162,97,0.7094297408077153,44
69,NONLIVINGAREA_MODE,2382.51336479187,230,0.7094297408077153,44
70,APARTMENTS_MEDI,1617.8891175985336,145,0.7094297408077153,44
71,BASEMENTAREA_MEDI,2397.403224825859,203,0.7094297408077153,44
72,YEARS_BEGINEXPLUATATION_MEDI,1795.310199379921,166,0.7094297408077153,44
73,YEARS_BUILD_MEDI,1265.722530066967,111,0.7094297408077153,44
74,COMMONAREA_MEDI,1609.1834180355072,149,0.7094297408077153,44
75,ELEVATORS_MEDI,469.1073112487793,41,0.7094297408077153,44
76,ENTRANCES_MEDI,625.0830097198486,59,0.7094297408077153,44
77,FLOORSMAX_MEDI,596.1313896179199,51,0.7094297408077153,44
78,FLOORSMIN_MEDI,604.021538734436,63,0.7094297408077153,44
79,LANDAREA_MEDI,2374.3032210469246,220,0.7094297408077153,44
80,LIVINGAPARTMENTS_MEDI,1512.6211980581284,135,0.7094297408077153,44
81,LIVINGAREA_MEDI,2231.64470744133,183,0.7094297408077153,44
82,NONLIVINGAPARTMENTS_MEDI,780.7165622711182,76,0.7094297408077153,44
83,NONLIVINGAREA_MEDI,2111.8949657678604,199,0.7094297408077153,44
84,FONDKAPREMONT_MODE,81.60144138336182,9,0.7094297408077153,44
85,HOUSETYPE_MODE,170.61526012420654,16,0.7094297408077153,44
86,TOTALAREA_MODE,3750.8304619789124,346,0.7094297408077153,44
87,WALLSMATERIAL_MODE,229.86533117294312,25,0.7094297408077153,44
88,EMERGENCYSTATE_MODE,160.09998506307602,22,0.7094297408077153,44
89,OBS_30_CNT_SOCIAL_CIRCLE,1882.3415209650993,183,0.7094297408077153,44
90,DEF_30_CNT_SOCIAL_CIRCLE,731.1578642129898,76,0.7094297408077153,44
91,OBS_60_CNT_SOCIAL_CIRCLE,1958.8982659578323,198,0.7094297408077153,44
92,DEF_60_CNT_SOCIAL_CIRCLE,504.30164790153503,54,0.7094297408077153,44
93,DAYS_LAST_PHONE_CHANGE,6716.452394902706,681,0.7094297408077153,44
94,FLAG_DOCUMENT_2,0.0,0,0.7094297408077153,44
95,FLAG_DOCUMENT_3,318.4719874858856,38,0.7094297408077153,44
96,FLAG_DOCUMENT_4,0.0,0,0.7094297408077153,44
97,FLAG_DOCUMENT_5,129.90489959716797,12,0.7094297408077153,44
98,FLAG_DOCUMENT_6,104.01910066604614,9,0.7094297408077153,44
99,FLAG_DOCUMENT_7,0.0,0,0.7094297408077153,44
100,FLAG_DOCUMENT_8,400.7878580093384,35,0.7094297408077153,44
101,FLAG_DOCUMENT_9,317.5675506591797,30,0.7094297408077153,44
102,FLAG_DOCUMENT_10,0.0,0,0.7094297408077153,44
103,FLAG_DOCUMENT_11,27.492969512939453,3,0.7094297408077153,44
104,FLAG_DOCUMENT_12,0.0,0,0.7094297408077153,44
105,FLAG_DOCUMENT_13,84.26313161849976,8,0.7094297408077153,44
106,FLAG_DOCUMENT_14,117.46215057373047,11,0.7094297408077153,44
107,FLAG_DOCUMENT_15,57.679609298706055,6,0.7094297408077153,44
108,FLAG_DOCUMENT_16,175.23550081253052,15,0.7094297408077153,44
109,FLAG_DOCUMENT_17,6.39169979095459,1,0.7094297408077153,44
110,FLAG_DOCUMENT_18,170.98472118377686,18,0.7094297408077153,44
111,FLAG_DOCUMENT_19,0.0,0,0.7094297408077153,44
112,FLAG_DOCUMENT_20,24.585540294647217,3,0.7094297408077153,44
113,FLAG_DOCUMENT_21,34.0518798828125,4,0.7094297408077153,44
114,AMT_REQ_CREDIT_BUREAU_HOUR,305.67111825942993,35,0.7094297408077153,44
115,AMT_REQ_CREDIT_BUREAU_DAY,109.55299997329712,11,0.7094297408077153,44
116,AMT_REQ_CREDIT_BUREAU_WEEK,195.73095083236694,20,0.7094297408077153,44
117,AMT_REQ_CREDIT_BUREAU_MON,1200.781358242035,130,0.7094297408077153,44
118,AMT_REQ_CREDIT_BUREAU_QRT,933.4155370593071,93,0.7094297408077153,44
119,AMT_REQ_CREDIT_BUREAU_YEAR,3407.4319182038307,329,0.7094297408077153,44
0,NAME_CONTRACT_TYPE,107.03955936431885,28,0.6974011254246497,45
1,CODE_GENDER,534.2467807531357,100,0.6974011254246497,45
2,FLAG_OWN_CAR,230.63605046272278,46,0.6974011254246497,45
3,FLAG_OWN_REALTY,490.1177787780762,66,0.6974011254246497,45
4,CNT_CHILDREN,531.0142110586166,62,0.6974011254246497,45
5,AMT_INCOME_TOTAL,5120.668472349644,606,0.6974011254246497,45
6,AMT_CREDIT,5259.318395972252,594,0.6974011254246497,45
7,AMT_ANNUITY,7076.863017857075,732,0.6974011254246497,45
8,AMT_GOODS_PRICE,4245.324945807457,424,0.6974011254246497,45
9,NAME_TYPE_SUITE,124.74892997741699,14,0.6974011254246497,45
10,NAME_INCOME_TYPE,48.18150043487549,6,0.6974011254246497,45
11,NAME_EDUCATION_TYPE,258.669798374176,30,0.6974011254246497,45
12,NAME_FAMILY_STATUS,136.61010074615479,15,0.6974011254246497,45
13,NAME_HOUSING_TYPE,236.77449750900269,25,0.6974011254246497,45
14,REGION_POPULATION_RELATIVE,4158.482074856758,445,0.6974011254246497,45
15,DAYS_BIRTH,7085.4401915073395,737,0.6974011254246497,45
